,index,niveau,niveaunaam,gebiedcodenaam,wijkcode,jaar,Woonoppervlak_0_40,Woonoppervlak_40_60,Woonoppervlak_60_80,Woonoppervlak_80_100,Woonoppervlak_100_plus,Woonoppervlak_onbekend,VCRIMIN_I,Culturele_voorzieningen,Aanbod_basisscholen,Woningdichtheid,Eenouder_huishouden,Eenpersoons_huishouden,Stel_zonder_kind_huishouden,Stel_met_kind_huishouden,overige_huishouden,Corporatiewoningen,Particuliere_huur,Koopwoninging,WOZ_per_M2,index,wijkcode,lon,lat
23,4237,4,Wijk,EP Bellamybuurt,EP,2021,11,"45,5","25,3",10,"8,1","0,2",,"7,2","7,7",15162.0,"5,7","60,9","22,6","9,7","1,1",36,"40,8","23,2",6854.0,109,EP,4.8654401,52.36809885
24,4238,4,Wijk,EQ Da Costabuurt,EQ,2021,"8,5","25,1","42,2","13,1",11,"0,1",,"7,1","7,3",12430.0,"5,8","56,6","26,7","9,4","1,5","22,2","47,2","30,5",6888.0,0,EQ,4.8721073,52.37013015
25,4239,4,Wijk,ER Westindische Buurt,ER,2021,"0,2",56,"28,1","7,5","8,2","0,1",,"6,4","7,7",11428.0,"6,7","48,7","29,3","13,8","1,4","16,9","52,4","30,7",6603.0,1,ER,4.8540622,52.36100675
26,4240,4,Wijk,ES Van Lennepbuurt,ES,2021,"19,5","39,3","26,1","10,3","4,6","0,2",,"7,2","7,5",17668.0,"6,5","64,3","19,6","8,6","0,9","51,2",26,"22,8",6717.0,13,ES,4.8674871,52.3650266
27,4241,4,Wijk,ET Overtoomse Sluis,ET,2021,"7,2","43,7","24,9","11,4","12,5","0,4",,"6,9","7,6",15520.0,"5,4","56,8","25,3","11,2","1,3","20,1","47,3","32,5",7282.0,18,ET,4.8598311,52.35973835
28,4242,4,Wijk,EU Helmersbuurt,EU,2021,"6,4","33,9","27,8","10,2","21,1","0,6",,"7,8","7,6",13158.0,"5,3","57,1","24,1","12,3","1,1","26,7","40,7","32,6",7313.0,19,EU,4.8715505,52.3635334
29,4243,4,Wijk,EV Vondelparkbuurt,EV,2021,"5,1","18,8","16,4","12,6",46,"1,2",,"8,3","7,3",4366.0,"6,2","52,4","25,4","14,6","1,4","16,2","44,7","39,1",7406.0,20,EV,4.87339625,52.3615828
30,4244,4,Wijk,FA Sloterdijk Nieuw-West,FA,2021,"88,5","5,3","0,8","0,8","3,6","1,1",,,,92.0,"0,6","83,4","14,5","0,9","0,7",,"99,4",,5671.0,65,FA,4.80115165,52.39220185
31,4247,4,Wijk,FD Slotermeer-Noordoost,FD,2021,"6,8","46,6","28,7","10,8","7,2","0,1",,5,7,4350.0,"9,7","48,8",17,"22,9","1,6","64,2",9,"26,8",4103.0,69,FD,4.8290986,52.380685
32,4249,4,Wijk,FF Lutkemeer/Ookmeer,FF,2021,"0,6","5,2",12,"9,7","70,6","1,9",,,,60.0,"8,5","54,9","19,4","16,4","0,8","4,5","29,1","66,3",4346.0,71,FF,4.7811914,52.3663398
33,4250,4,Wijk,FG De Aker,FG,2021,"0,2",1,"19,8","28,2","50,8","0,1",,"5,3","7,2",3640.0,10,32,"22,7","34,3",1,"29,4",16,"54,6",3765.0,72,FG,4.7814874,52.34943735
34,4251,4,Wijk,FH De Punt,FH,2021,"7,5","27,8","26,4","24,8","13,4","0,1",,"5,6","7,1",4595.0,8,"50,1","17,5","22,8","1,7","36,8","21,4","41,8",3284.0,73,FH,4.7843972,52.3576807
35,4252,4,Wijk,FJ Osdorp-Midden,FJ,2021,"2,6",11,"33,9","30,8","21,3","0,4",,6,"7,2",6263.0,11,"43,4","18,3","25,5","1,8","59,3","13,9","26,8",3430.0,85,FJ,4.7951324,52.35534825
36,4253,4,Wijk,FK Osdorp-Oost,FK,2021,"3,6","25,1","35,1","21,6","14,4","0,3",,"6,5","7,2",5317.0,"8,7","52,9","20,5","16,9","0,9","54,5","18,5",27,3545.0,86,FK,4.80788145,52.3584471
37,4254,4,Wijk,FL Slotervaart-Noord,FL,2021,"4,4","16,4",34,"22,7","22,4","0,1",,"5,8","7,3",3047.0,"11,1","43,1","21,3","23,4","1,2","44,2",24,"31,8",4172.0,87,FL,4.82330125,52.3648658
38,4255,4,Wijk,FM Overtoomse Veld,FM,2021,11,"18,4","27,2","24,6","18,6","0,2",,"4,8",7,4179.0,"6,9",52,"21,1","18,8","1,2",38,"42,5","19,5",4425.0,88,FM,4.84217435,52.36552265
39,4256,4,Wijk,FN Slotervaart-Zuid,FN,2021,"11,6","16,1","35,3","20,3","14,3","2,4",,"5,3","6,7",4066.0,"9,6","54,1","17,7","17,3","1,3","68,9","12,7","18,4",4263.0,22,FN,4.8262398,52.35126435
40,4257,4,Wijk,FP Westlandgracht,FP,2021,"30,5","14,7",22,"21,7",11,"0,1",,"4,9","6,9",4945.0,"4,6",64,"20,4","9,8","1,2","32,5","51,9","15,6",4676.0,25,FP,4.8415109,52.34778785
41,4258,4,Wijk,FQ Sloten/Nieuw-Sloten,FQ,2021,"1,3","1,5","9,7","43,7","43,6","0,2",,"5,2","7,7",1253.0,9,"33,6","27,9","28,5","0,9","19,5","27,7","52,8",4043.0,26,FQ,4.81912355,52.3393372
42,4259,4,Wijk,KA Hoofddorppleinbuurt,KA,2021,"2,8","58,3","20,9","6,5","11,4",0,,"5,9","7,4",7719.0,"6,5","52,7","26,8","12,8","1,3","12,5","51,8","35,7",6467.0,43,KA,4.848138,52.3480818
43,4260,4,Wijk,KB Schinkelbuurt,KB,2021,"4,2",53,"24,9","9,3","8,3","0,1",,"6,6","6,9",8226.0,"6,7","60,4","23,8","7,9","1,3","32,6",43,"24,4",6800.0,2,KB,4.852877,52.34964535
44,4261,4,Wijk,KC Willemspark,KC,2021,"1,6","6,3","25,3","12,5","54,3",0,,"7,6","7,8",4213.0,"7,1","41,2","25,1","25,5","1,1","9,7","44,5","45,8",7391.0,3,KC,4.86279635,52.35437115
45,4262,4,Wijk,KD Museumkwartier,KD,2021,"5,4","11,4","17,2",15,"50,8","0,2",,"8,6","8,2",5265.0,"5,6","50,7","25,1","17,5","1,2","4,1",59,"36,9",7521.0,4,KD,4.87646435,52.3552648
46,4263,4,Wijk,KE Oude Pijp,KE,2021,"18,1","34,8","25,6",10,"11,4","0,1",,"7,4","7,4",15135.0,5,62,"23,9","7,6","1,5","26,2",51,"22,8",7128.0,5,KE,4.89627025,52.35623165
47,4264,4,Wijk,KF Nieuwe Pijp,KF,2021,"11,3","46,7","24,3","9,7","7,8","0,2",,"7,4","7,5",15209.0,"5,6","60,9","23,8","8,7",1,30,45,25,6892.0,6,KF,4.8973224,52.3520907
48,4265,4,Wijk,KG Zuid Pijp,KG,2021,"2,5","51,8",34,"8,6",3,0,,"6,8","7,2",13109.0,"10,8","58,2","19,1",11,1,"69,2","17,4","13,4",6509.0,66,KG,4.90280345,52.35067815
49,4266,4,Wijk,KH Stadionbuurt,KH,2021,"1,4",41,"34,3","12,5","10,8",0,,"6,3","7,7",6942.0,"9,6","53,2","22,6","13,7","0,8",48,36,"16,1",6688.0,8,KH,4.8574755,52.34445665
50,4267,4,Wijk,KJ Apollobuurt,KJ,2021,"1,4",2,"5,6","9,5","81,5","0,1",,"6,9","8,3",4430.0,"6,5","39,1","24,1",29,"1,3","1,6","46,8","51,6",7317.0,9,KJ,4.87579195,52.34809945
51,4268,4,Wijk,KK Scheldebuurt,KK,2021,"4,7","10,8","33,9","29,6","20,8","0,1",,"6,2","7,8",7955.0,"6,9","47,8","27,1","16,5","1,7","16,3","56,1","27,5",6366.0,10,KK,4.8961454,52.341527
52,4269,4,Wijk,KL IJselbuurt,KL,2021,"1,2","31,5","52,3","8,4","6,5","0,1",,6,"7,1",11783.0,"7,3","55,6","25,2","10,5","1,3","43,8","40,6","15,6",6168.0,11,KL,4.90391425,52.3480695
53,4270,4,Wijk,KM Rijnbuurt,KM,2021,"0,8",60,"21,4","10,6","7,3",0,,"5,8","7,4",5527.0,"7,4","57,6","23,9","9,9","1,2","38,3","41,5","20,2",6336.0,12,KM,4.9038287,52.3400648
54,4271,4,Wijk,KN Prinses Irenebuurt e.o.,KN,2021,0,"6,9","4,5","24,8","62,6","1,2",,"6,5","7,9",1821.0,"5,1","43,6","24,1","26,4","0,9",,29,71,6476.0,14,KN,4.875265,52.34370745
55,4272,4,Wijk,KP Zuidas,KP,2021,"33,3",6,"17,4","20,2","23,1",0,,"5,5","6,8",1209.0,"3,4","64,2","21,4","10,6","0,4","4,7","77,3","18,1",6548.0,15,KP,4.87475785,52.33829205
56,4273,4,Wijk,KQ Buitenveldert-West,KQ,2021,"6,1","11,2","41,2","15,8","25,3","0,5",,"5,9","7,6",2668.0,"5,6",54,"22,8","16,3","1,3",25,"37,3","37,7",5080.0,16,KQ,4.84837205,52.33015895
57,4274,4,Wijk,KR Buitenveldert-Oost,KR,2021,"12,6","5,9","39,6","17,2","24,4","0,3",,"5,7","7,2",3045.0,"6,6","57,4",22,"13,2","0,9","27,9","40,7","31,4",4967.0,17,KR,4.88851085,52.32913525
58,4275,4,Wijk,MA Oostelijk Havengebied,MA,2021,"1,5","6,9","20,9","35,5",35,"0,2",,"6,1","7,5",6076.0,"9,5","43,8","26,6","19,5","0,7","31,3","29,9","38,9",5117.0,27,MA,4.9336513,52.3745605
59,4276,4,Wijk,MB Weesperzijde,MB,2021,"9,5","29,9","24,4","15,7","20,2","0,3",,"6,7","7,7",8272.0,"4,9","54,8","26,1","12,9","1,3","26,1","38,1","35,8",6463.0,28,MB,4.9105667,52.35435315
